,Country,Industry,Gas_Type,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021
45,Africa,"Agriculture, Forestry and Fishing",Carbon dioxide,5.48334649,5.56160862,6.16135926,6.640417373,7.062051526,7.206353556,7.88014775,8.532024372,8.593665082,8.963838296,9.367897161,11.34984767
46,Africa,"Agriculture, Forestry and Fishing",Greenhouse gas,691.7087208,703.3878948,731.4277178,746.5060929,760.0725015,774.7692823,797.7743578,804.5504182,820.2422769,824.1640092,746.0126781,765.9980841
47,Africa,"Agriculture, Forestry and Fishing",Methane,456.9428863,464.7009849,484.4941275,492.6682685,502.0257792,511.8961092,527.0850257,528.4057867,540.7229562,543.1843829,490.431554,519.403035
48,Africa,"Agriculture, Forestry and Fishing",Nitrous oxide,229.282488,233.1253012,240.772231,247.1974071,250.9846707,255.6668196,262.8091843,267.6126072,270.9256556,272.015788,246.213227,235.2452015
49,Africa,Construction,Carbon dioxide,113.268164,108.7017455,109.8292651,110.0574954,109.9986371,107.8963541,107.6467091,109.1209004,111.2199099,112.5991371,106.0641104,99.62761853
50,Africa,Construction,Greenhouse gas,286.4561895,273.0185092,282.9705114,272.7498443,270.686032,267.7292016,261.8469037,269.2046577,269.850484,271.4236054,254.9082936,238.7604032
51,Africa,Construction,Methane,172.3483004,163.4939837,172.2919934,161.8126991,159.8447882,158.9903585,153.3454136,159.2222399,157.7655685,157.9519066,148.0391889,138.3402931
52,Africa,Construction,Nitrous oxide,0.83972509,0.822780025,0.849252895,0.879649786,0.842606724,0.842489102,0.854780995,0.861517493,0.865005603,0.87256166,0.804994287,0.792491554
53,Africa,"Electricity, Gas, Steam and Air Conditioning Supply",Carbon dioxide,420.1795811,413.2266923,439.090897,447.4665334,475.4229338,472.8285345,471.3411087,464.6934423,493.8037684,506.573111,485.9745653,524.927705
54,Africa,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,426.4594622,419.5347198,445.740995,454.3888162,482.5995688,479.9926549,478.6196236,472.0144126,501.3068427,514.1606605,492.9808375,530.935117
55,Africa,"Electricity, Gas, Steam and Air Conditioning Supply",Methane,0.222652849,0.239186254,0.258003272,0.262513178,0.278722546,0.291117998,0.289255002,0.292745104,0.318443129,0.318425346,0.296546939,0.304112273
